Country,Date,nuclear_electricity
United States,1900,
United States,1901,
United States,1902,
United States,1903,
United States,1904,
United States,1905,
United States,1906,
United States,1907,
United States,1908,
United States,1909,
United States,1910,
United States,1911,
United States,1912,
United States,1913,
United States,1914,
United States,1915,
United States,1916,
United States,1917,
United States,1918,
United States,1919,
United States,1920,
United States,1921,
United States,1922,
United States,1923,
United States,1924,
United States,1925,
United States,1926,
United States,1927,
United States,1928,
United States,1929,
United States,1930,
United States,1931,
United States,1932,
United States,1933,
United States,1934,
United States,1935,
United States,1936,
United States,1937,
United States,1938,
United States,1939,
United States,1940,
United States,1941,
United States,1942,
United States,1943,
United States,1944,
United States,1945,
United States,1946,
United States,1947,
United States,1948,
United States,1949,
United States,1950,
United States,1951,
United States,1952,
United States,1953,
United States,1954,
United States,1955,
United States,1956,
United States,1957,
United States,1958,
United States,1959,
United States,1960,
United States,1961,
United States,1962,
United States,1963,
United States,1964,
United States,1965,3.85
United States,1966,5.81
United States,1967,8.06
United States,1968,13.19
United States,1969,14.66
United States,1970,22.95
United States,1971,40.11
United States,1972,56.94
United States,1973,87.87
United States,1974,119.97
United States,1975,181.58
United States,1976,201.16
United States,1977,264.09
United States,1978,290.95
United States,1979,268.58
United States,1980,264.33
United States,1981,287.03
United States,1982,297.66
United States,1983,309.13
United States,1984,344.88
United States,1985,403.89
United States,1986,435.83
United States,1987,479.23
United States,1988,554.71
United States,1989,557.22
United States,1990,607.22
United States,1991,644.81
United States,1992,651.34
United States,1993,642.41
United States,1994,674.15
United States,1995,708.84
United States,1996,710.24
United States,1997,661.73
United States,1998,709.16
United States,1999,766.58
United States,2000,753.89
United States,2001,768.83
United States,2002,780.06
United States,2003,763.73
United States,2004,788.53
United States,2005,781.99
United States,2006,787.22
United States,2007,806.42
United States,2008,806.21
United States,2009,798.85
United States,2010,806.97
United States,2011,790.2
United States,2012,769.33
United States,2013,789.02
United States,2014,797.17
United States,2015,797.18
United States,2016,805.69
United States,2017,804.95
United States,2018,807.08
United States,2019,809.41
United States,2020,789.88
United States,2021,779.65
United States,2022,771.54
United States,2023,764.1613868621176
United States,2024,855.7822015834118
United States,2025,947.5201390409139
United States,2026,1039.992111942458
United States,2027,1132.1803510858779
United States,2028,1224.092786000348
United States,2029,1316.2304089489824
United States,2030,1408.4351851851852
United States,2031,1471.925925925926
United States,2032,1535.4166666666665
United States,2033,1598.9074074074074
United States,2034,1662.398148148148
United States,2035,1725.888888888889
United States,2036,1765.2296296296295
United States,2037,1804.5703703703703
United States,2038,1843.911111111111
United States,2039,1883.2518518518518
United States,2040,1922.5925925925926
United States,2041,1961.9333333333334
United States,2042,2001.2740740740742
United States,2043,2040.6148148148147
United States,2044,2079.9555555555553
United States,2045,2119.2962962962965
United States,2046,2158.637037037037
United States,2047,2197.9777777777776
United States,2048,2237.3185185185184
United States,2049,2276.659259259259
United States,2050,2316.0
United States,2051,2355.340740740741
United States,2052,2394.6814814814816
United States,2053,2434.022222222222
United States,2054,2473.362962962963
United States,2055,2512.7037037037035
United States,2056,2552.0444444444447
United States,2057,2591.385185185185
United States,2058,2630.725925925926
United States,2059,2670.0666666666666
United States,2060,2709.4074074074074
United States,2061,2748.748148148148
United States,2062,2788.088888888889
United States,2063,2827.4296296296297
United States,2064,2866.77037037037
United States,2065,2906.1111111111113
United States,2066,2945.4518518518516
United States,2067,2984.792592592593
United States,2068,3024.133333333333
United States,2069,3063.474074074074
United States,2070,3102.814814814815
United States,2071,3142.1555555555556
United States,2072,3181.4962962962964
United States,2073,3220.837037037037
United States,2074,3260.177777777778
United States,2075,3299.5185185185182
United States,2076,3338.8592592592595
United States,2077,3378.2
United States,2078,3417.540740740741
United States,2079,3456.8814814814814
United States,2080,3496.2222222222226
United States,2081,3535.562962962963
United States,2082,3574.9037037037033
United States,2083,3614.2444444444445
United States,2084,3653.585185185185
United States,2085,3692.925925925926
United States,2086,3732.2666666666664
United States,2087,3771.6074074074077
United States,2088,3810.948148148148
United States,2089,3850.2888888888892
United States,2090,3889.6296296296296
United States,2091,3928.970370370371
United States,2092,3968.311111111111
United States,2093,4007.6518518518515
United States,2094,4046.9925925925927
United States,2095,4086.333333333333
United States,2096,4125.674074074074
United States,2097,4165.014814814815
United States,2098,4204.355555555556
United States,2099,4243.696296296296
United States,2100,4283.037037037037
Canada,1900,
Canada,1901,
Canada,1902,
Canada,1903,
Canada,1904,
Canada,1905,
Canada,1906,
Canada,1907,
Canada,1908,
Canada,1909,
Canada,1910,
Canada,1911,
Canada,1912,
Canada,1913,
Canada,1914,
Canada,1915,
Canada,1916,
Canada,1917,
Canada,1918,
Canada,1919,
Canada,1920,
Canada,1921,
Canada,1922,
Canada,1923,
Canada,1924,
Canada,1925,
Canada,1926,
Canada,1927,
Canada,1928,
Canada,1929,
Canada,1930,
Canada,1931,
Canada,1932,
Canada,1933,
Canada,1934,
Canada,1935,
Canada,1936,
Canada,1937,
Canada,1938,
Canada,1939,
Canada,1940,
Canada,1941,
Canada,1942,
Canada,1943,
Canada,1944,
Canada,1945,
Canada,1946,
Canada,1947,
Canada,1948,
Canada,1949,
Canada,1950,
Canada,1951,
Canada,1952,
Canada,1953,
Canada,1954,
Canada,1955,
Canada,1956,
Canada,1957,
Canada,1958,
Canada,1959,
Canada,1960,
Canada,1961,
Canada,1962,
Canada,1963,
Canada,1964,
Canada,1965,0.13
Canada,1966,0.17
Canada,1967,0.15
Canada,1968,0.92
Canada,1969,0.53
Canada,1970,1.04
Canada,1971,4.27
Canada,1972,7.21
Canada,1973,15.25
Canada,1974,14.7
Canada,1975,12.57
Canada,1976,17.42
Canada,1977,26.34
Canada,1978,31.2
Canada,1979,35.27
Canada,1980,38.03
Canada,1981,40.07
Canada,1982,38.34
Canada,1983,48.61
Canada,1984,52.21
Canada,1985,60.52
Canada,1986,71.27
Canada,1987,77.26
Canada,1988,82.87
Canada,1989,79.32
Canada,1990,72.46
Canada,1991,84.34
Canada,1992,80.02
Canada,1993,93.28
Canada,1994,107.08
Canada,1995,97.16
Canada,1996,92.12
Canada,1997,81.96
Canada,1998,70.99
Canada,1999,72.98
Canada,2000,69.16
Canada,2001,72.86
Canada,2002,71.75
Canada,2003,71.15
Canada,2004,85.87
Canada,2005,86.83
Canada,2006,92.44
Canada,2007,88.19
Canada,2008,88.3
Canada,2009,85.13
Canada,2010,85.53
Canada,2011,88.29
Canada,2012,89.49
Canada,2013,97.58
Canada,2014,101.21
Canada,2015,96.05
Canada,2016,95.69
Canada,2017,95.57
Canada,2018,95.03
Canada,2019,95.47
Canada,2020,92.65
Canada,2021,87.36
Canada,2022,82.28
Canada,2023,82.2907536637449
Canada,2024,88.93183686138396
Canada,2025,95.57292005902303
Canada,2026,102.21400325666212
Canada,2027,108.8550864543012
Canada,2028,115.49616965194028
Canada,2029,122.13725284957935
